"순위","역명","일평균"
"263","동작","3300"
"264","신길(5)","3132"
"265","학여울","3007"
"266","독바위","2969"
"267","동대문역사문화공원(5)","2835"
"268","용답","2806"
"269","남태령","2703"
"270","장암","2524"
"271","버티고개","2487"
"272","용두","2329"
"273","신답","1390"
"274","지축","1214"
"275","도림천","1083"
