노선명,역ID,역명,승차총승객수,하차총승객수
과천선,1451,경마공원,12159,12362
과천선,1452,대공원,2761,2916
과천선,1453,과천,3607,3224
과천선,1454,정부과천청사,6872,6620
과천선,1455,인덕원,16458,16048
과천선,1456,평촌,9383,9239
과천선,1457,범계,21039,20529
분당선,1023,선릉,5028,8499
일산선,1954,백석,7603,7684
일산선,1953,대곡,1140,930
일산선,1952,화정,13309,13872
일산선,1951,원당,8109,7498
일산선,1950,삼송,12539,11597
일산선,1948,원흥,6031,5513
우이신설선,4713,신설동,1405,1340
우이신설선,4712,보문,1089,1120
우이신설선,4711,성신여대입구(돈암),2129,2350
우이신설선,4710,정릉,3221,2672
우이신설선,4709,북한산보국문,4241,3723
우이신설선,4708,솔샘,3385,3020
우이신설선,4707,삼양사거리,1733,1737
우이신설선,4706,삼양,1393,1475
우이신설선,4705,화계,2451,2276
우이신설선,4704,가오리,2721,2580
우이신설선,4703,4.19민주묘지,2026,1715
우이신설선,4702,솔밭공원,1652,1577
우이신설선,4701,북한산우이,2578,2684
안산선,1763,수리산,2778,2270
안산선,1762,오이도,7095,6835
안산선,1761,정왕,5389,5386
안산선,1760,신길온천,1133,1014
안산선,1759,안산,8966,8667
안산선,1758,초지,2806,2616
안산선,1757,고잔,5539,5455
안산선,1756,중앙,13529,14595
안산선,1755,한대앞,5714,5749
안산선,1754,상록수,14110,13515
안산선,1753,반월,3508,3203
안산선,1752,대야미,3661,3159
안산선,1751,산본,13305,14266
수인선,1891,인천,784,1242
수인선,1890,신포,1302,1331
수인선,1889,숭의,2491,2277
수인선,1888,인하대,3475,3397
수인선,1886,송도,2123,2050
수인선,1885,연수,4044,4239
수인선,1884,원인재,3454,3547
수인선,1883,남동인더스파크,980,925
수인선,1882,호구포,2244,2143
수인선,1881,인천논현,4548,4618
수인선,1880,소래포구,3748,3611
수인선,1879,월곶,1813,1738
수인선,1878,달월,31,28
분당선,1872,매교,1603,1680
분당선,1871,수원시청,10120,12218
분당선,1870,매탄권선,3063,2804
분당선,1869,망포,8591,7666
분당선,1868,영통,6969,6857
분당선,1867,청명,2593,2515
분당선,1866,상갈,3734,3652
분당선,1865,기흥,6619,6437
분당선,1864,신갈,2745,2682
분당선,1863,구성,3055,3063
분당선,1862,죽전,10183,11497
분당선,1861,보정,1678,1468
분당선,1860,이매,4342,4337
분당선,1859,오리,8136,6737
분당선,1858,미금,11508,11961
분당선,1857,정자,11023,11195
분당선,1856,수내,9321,8575
분당선,1855,서현,21237,21818
분당선,1854,야탑,19504,20778
분당선,1853,모란,16894,17032
분당선,1852,태평,10764,10418
분당선,1851,가천대,4688,5250
분당선,1850,선정릉,3501,3677
분당선,1849,강남구청,5326,6472
분당선,1848,압구정로데오,14038,16174
분당선,1847,서울숲,5684,5867
분당선,1846,수원,6372,4245
분당선,1030,수서,10186,10418
분당선,1028,대모산입구,2158,1970
분당선,1027,개포동,2474,2531
분당선,1026,구룡,906,891
분당선,1025,도곡,4091,3740
분당선,1024,한티,12036,11462
경춘선,1327,김유정,390,426
경춘선,1328,남춘천,2286,2404
경춘선,1329,춘천,1282,1189
공항철도 1호선,4201,서울역,10865,9930
공항철도 1호선,4202,공덕,1798,2790
공항철도 1호선,4203,홍대입구,11464,11581
공항철도 1호선,4204,디지털미디어시티,5077,4790
공항철도 1호선,4206,마곡나루,2177,2336
공항철도 1호선,4207,김포공항,8042,3963
공항철도 1호선,4208,계양,6290,5694
공항철도 1호선,4209,검암,4925,4876
공항철도 1호선,4210,청라국제도시,3586,3462
공항철도 1호선,4211,운서,6244,6555
공항철도 1호선,4212,공항화물청사,1459,1535
공항철도 1호선,4213,인천공항1터미널,13925,11877
공항철도 1호선,4215,인천공항2터미널,4743,4000
공항철도 1호선,4217,영종,2148,2264
과천선,1450,선바위,5273,4489
중앙선,1220,지평,37,27
중앙선,1219,용문,1555,1739
중앙선,1218,원덕,312,292
중앙선,1217,양평,2295,2418
